;author;year;avgsentlen
FRA20077;Retif;1796;22.80246913580247
FRA20063;Loaisel;1783;34.584756898817346
FRA20068;Beaumont;1767;33.70351648351648
FRA20087;Reveroni;1798;29.44208037825059
FRA20021;Sade;1787;52.92205491585474
FRA20083;Barthe;1769;23.311635220125787
FRA20024;Sade;1795;43.435119349923816
FRA20065;Loaisel;1788;34.45458298926507
FRA20080;Retif;1784;25.752416520210897
FRA20076;Fourqueux;1775;32.0367722165475
FRA20044;Charriere;1795;23.840725806451612
FRA20089;Nerciat;1775;29.767302167667797
FRA20025;Morelly;1753;45.150621118012424
FRA20034;Arnaud;1767;26.628070175438598
FRA20071;Mercier;1776;34.676578560939795
FRA20061;Florian;1786;29.226174496644294
FRA20007;Berquin;1782;10.923683600092787
FRA20042;Mirabeau;1783;38.64855967078189
FRA20035;Arnaud;1767;29.476106194690267
FRA20002;Popeliniere;1761;46.04329004329004
FRA20017;Lagrave;1798;21.21613545816733
FRA20015;Dorat;1771;21.85551425030979
FRA20064;Loaisel;1779;29.306231003039514
FRA20008;Benouville;1758;40.18173758865248
FRA20066;Rosny;1798;38.98518518518519
FRA20049;Bernardin;1791;38.93571428571428
FRA20048;Cazotte;1763;29.07519116397621
FRA20075;Riccoboni;1764;25.63244811426021
FRA20059;Florian;1783;26.162384378211716
FRA20095;Genlis;1795;33.521390778533636
FRA20052;Louvet;1790;21.861125190065888
FRA20088;Nerciat;1784;28.448055407565263
FRA20019;Diderot;1796;28.847242921013414
FRA20018;Diderot;1774;25.279947916666668
FRA20016;Lagrave;1798;24.7827868852459
FRA20004;Merard;1784;15.047823421213979
FRA20011;Crebillon;1755;16.746581196581197
FRA20097;Tiphaigne;1753;29.376978417266187
FRA20010;Sacy;1761;27.52911813643927
FRA20069;Bellin;1799;32.62515188335358
FRA20073;Riccoboni;1757;19.727676369018255
FRA20094;Cottin;1798;33.23974082073434
FRA20012;Crebillon;1751;34.278307112785285
FRA20041;Dulaurens;1766;42.210769980506825
FRA20000;Maistre;1794;42.46242774566474
FRA20062;Fievee;1797;25.94141689373297
FRA20092;Lesuire;1782;22.36055810787817
FRA20050;Bernardin;1787;28.598273832875638
FRA20020;Diderot;1796;18.556339183204855
FRA20086;Puget;1761;22.54283965728274
FRA20054;Gorjy;1791;23.099802371541504
FRA20030;Chevrier;1761;36.96830188679245
FRA20055;Marmontel;1767;27.82253086419753
FRA20045;Charriere;1787;28.61129411764706
FRA20067;Lavaux;1785;23.67574931880109
FRA20047;Cazotte;1772;23.161290322580644
FRA20026;Beauharnais;1778;23.009515444298053
FRA20037;Arnaud;1764;27.593038821954483
FRA20090;Nerciat;1764;15.767058552328262
FRA20057;Rousseau;1762;33.208315655494275
FRA20029;BarbeMarbois;1769;35.06360792492179
FRA20006;Prevost;1760;35.20216535433071
FRA20099;Beckford;1787;29.333333333333332
FRA20027;Doppet;1786;39.619477911646584
FRA20096;Genlis;1782;39.77264912048671
FRA20033;Voltaire;1759;27.324827586206897
FRA20078;Retif;1776;29.815363307053058
FRA20023;Sade;1791;46.80831329440055
FRA20072;Riccoboni;1758;37.62243667068758
FRA20036;Arnaud;1767;34.23560209424084
FRA20022;Sade;1791;48.537654320987656
FRA20001;Souza;1794;25.328739359546006
FRA20003;Segur;1789;29.32088520055325
FRA20031;Voltaire;1768;29.150163220892274
FRA20051;Quesne;1799;26.057610993657505
FRA20013;Crebillon;1771;46.8795918367347
FRA20014;Dorat;1772;22.851772287862513
FRA20079;Retif;1798;17.61336032388664
FRA20053;Louvet;1787;20.96475176241188
FRA20056;Marmontel;1777;26.930817610062892
FRA20039;Senac;1797;38.886919620569145
FRA20046;Cazotte;1788;22.39657282741738
FRA20091;Lesuire;1789;19.122736064708985
FRA20005;Anonym;1778;30.236036036036037
FRA20074;Riccoboni;1767;22.950807360120166
FRA20081;Leonard;1774;17.114604462474645
FRA20093;Constant;1787;58.763448784082534
FRA20085;Laclos;1782;25.955964409591314
FRA20040;Dulaurens;1765;36.06592427616926
FRA20009;Voisenon;1751;40.26969696969697
FRA20028;Ducray;1798;26.340167753960856
FRA20032;Voltaire;1768;31.561099796334013
FRA20043;Mirabeau;1786;30.16062801932367
FRA20098;Tiphaigne;1765;28.461762988908347
FRA20070;Mercier;1771;27.0478184991274
FRA20082;Leonard;1783;22.410417859187177
FRA20058;Rousseau;1761;28.59895251996222
FRA20060;Florian;1788;25.576842105263157
FRA20038;Benoist;1766;30.324013668841253
FRA20084;Gerard;1774;34.55892143808256
